start.time,action,v.M
20180714-114610:417,RETAIN,36
20180714-115243:434,RETAIN,8
20180714-115422:495,RETAIN,2
20180714-115449:623,RETAIN,10
20180714-115539:489,RETAIN,4
20180714-115424:187,RETAIN,2
20180714-115250:923,RETAIN,6
20180714-115733:333,RETAIN,13
20180714-120023:234,RETAIN,24
20180714-115928:139,RETAIN,24
20180714-115926:010,RETAIN,10
20180714-115917:198,RETAIN,14
20180714-120305:561,RETAIN,12
20180714-120221:762,RETAIN,2
20180714-120431:309,RETAIN,28
20180714-120136:152,RERUN,12
20180714-120534:024,RETAIN,16
20180714-120510:995,RETAIN,9
20180714-120527:878,RETAIN,12
20180714-120542:475,RETAIN,12
20180714-120620:781,RETAIN,40
20180714-120848:175,RETAIN,14
20180714-121131:203,RETAIN,18
20180714-121224:739,RETAIN,13
20180714-121202:179,RETAIN,23
20180714-121133:862,RETAIN,10
20180714-121107:475,RETAIN,23
20180714-121109:984,RETAIN,42
20180714-121419:527,RETAIN,12
20180714-121123:372,RETAIN,15
20180714-121102:408,RETAIN,6
20180714-121834:379,RETAIN,37
20180714-121937:472,RETAIN,26
20180714-121829:688,RETAIN,22
20180714-121742:574,RERUN,62
20180714-121810:994,RERUN,10
20180714-121824:814,RETAIN,28
20180714-122009:851,RETAIN,10
20180714-120336:176,RETAIN,107
20180714-122025:685,RETAIN,15
20180714-121954:961,RETAIN,12
20180714-122426:911,RETAIN,16
20180714-122338:640,RETAIN,24
20180714-122613:148,RETAIN,25
20180714-122524:314,RETAIN,62
20180714-122452:846,RETAIN,15
20180714-122708:366,RETAIN,13
20180714-122422:901,RETAIN,15
20180714-122946:832,RETAIN,18
20180714-122942:406,RETAIN,11
20180714-122917:944,RETAIN,0
20180714-123300:352,RETAIN,20
20180714-122823:612,RETAIN,20
20180714-123251:824,RETAIN,17
20180714-123202:590,RETAIN,51
20180714-123232:759,RETAIN,17
20180714-123129:656,RETAIN,55
20180714-123642:891,RETAIN,2
20180714-123542:705,RETAIN,14
20180714-121734:248,RETAIN,26
20180714-123802:437,RETAIN,9
20180714-123937:459,RETAIN,18
20180714-123813:585,RETAIN,4
20180714-123700:586,RETAIN,16
20180714-123821:742,RETAIN,20
20180714-123917:273,RETAIN,55
20180714-123753:592,RETAIN,21
20180714-124121:433,RETAIN,23
20180714-124221:714,RETAIN,21
20180714-124426:409,RETAIN,18
20180714-124612:527,RETAIN,15
20180714-124541:162,RETAIN,14
20180714-124442:683,RETAIN,24
20180714-124636:164,RETAIN,20
20180714-124607:403,RETAIN,5
20180714-124656:013,RETAIN,25
20180714-124708:117,RETAIN,16
20180714-124918:787,RETAIN,49
20180714-124930:296,RETAIN,6
20180714-125237:931,RETAIN,9
20180714-125129:919,RETAIN,31
20180714-123214:716,RETAIN,25
20180714-125039:193,RETAIN,15
20180714-125320:884,RETAIN,22
20180714-125321:831,RETAIN,10
20180714-125438:342,RETAIN,28
20180714-125455:949,RETAIN,9
20180714-125537:147,RETAIN,0
20180714-125341:064,RETAIN,12
20180714-125713:619,RETAIN,0
20180714-125859:678,RETAIN,29
20180714-125638:024,RETAIN,19
20180714-130027:190,RETAIN,27
20180714-130208:164,RETAIN,5
20180714-130103:906,RETAIN,46
20180714-125909:656,RETAIN,15
20180714-130332:031,RETAIN,46
20180714-130559:673,RETAIN,26
20180714-130504:912,RETAIN,11
20180714-130456:876,RETAIN,5
20180714-130313:284,RETAIN,31
20180714-130731:885,RERUN,10
20180714-124719:180,RETAIN,76
20180714-130726:250,RETAIN,17
20180714-130758:496,RETAIN,0
20180714-130908:633,RETAIN,3
20180714-131009:169,RETAIN,18
20180714-131228:076,RETAIN,20
20180714-131147:479,RETAIN,12
20180714-131357:114,RETAIN,22
20180714-131421:964,RETAIN,13
20180714-131343:020,RETAIN,4
20180714-131545:345,RETAIN,44
20180714-131251:188,RERUN,7
20180714-131142:051,RETAIN,0
20180714-131630:276,RETAIN,18
20180714-131854:907,RETAIN,19
20180714-131833:157,RETAIN,14
20180714-132047:984,RETAIN,20
20180714-131940:282,RETAIN,20
20180714-130157:460,RETAIN,49
20180714-132243:466,RETAIN,29
20180714-132157:524,RETAIN,8
20180714-132146:865,RETAIN,18
20180714-132226:929,RETAIN,0
20180714-132544:411,RETAIN,19
20180714-132147:338,RETAIN,12
20180714-132541:020,RETAIN,15
20180714-132452:060,RETAIN,46
20180714-132719:046,RETAIN,17
20180714-132911:839,RETAIN,8
20180714-132756:740,RETAIN,8
20180714-132848:679,RETAIN,13
20180714-133216:564,RETAIN,14
20180714-133103:821,RETAIN,4
20180714-133125:479,RETAIN,7
20180714-133414:572,RETAIN,22
20180714-133145:723,RETAIN,24
20180714-133451:677,RETAIN,7
20180714-133607:378,RETAIN,8
20180714-133438:714,RETAIN,10
20180714-131730:455,RETAIN,62
20180714-133119:999,RETAIN,10
20180714-133907:074,RETAIN,21
20180714-133830:161,RETAIN,53
20180714-134044:747,RETAIN,22
20180714-133958:389,RETAIN,1
20180714-134213:501,RETAIN,13
20180714-133944:525,RETAIN,34
20180714-134253:687,RETAIN,10
20180714-134211:411,RETAIN,44
20180714-134536:593,RETAIN,16
20180714-134442:840,RETAIN,50
20180714-134715:193,RETAIN,20
20180714-134245:433,RETAIN,18
20180714-134935:248,RETAIN,12
20180714-134829:815,RETAIN,6
20180714-135205:442,RETAIN,17
20180714-134839:086,RETAIN,0
20180714-134955:201,RETAIN,0
20180714-133217:374,RETAIN,24
20180714-135032:892,RETAIN,59
20180714-135209:182,RETAIN,10
20180714-135345:147,RETAIN,21
20180714-135515:829,RETAIN,42
20180714-135822:878,RETAIN,22
20180714-135259:677,RETAIN,10
20180714-135719:924,RETAIN,4
20180714-135856:038,RETAIN,4
20180714-140017:094,RETAIN,22
20180714-135626:668,RETAIN,11
20180714-140003:993,RETAIN,24
20180714-135750:592,RETAIN,20
20180714-140434:950,RETAIN,19
20180714-140210:355,RETAIN,22
20180714-140649:279,RETAIN,21
20180714-134705:230,RETAIN,83
20180714-140618:662,RETAIN,0
20180714-140241:334,RETAIN,4
20180714-141050:308,RETAIN,18
20180714-140833:609,RETAIN,23
20180714-140654:466,RERUN,17
20180714-140834:900,RETAIN,22
20180714-141137:548,RETAIN,3
20180714-140716:342,RETAIN,17
20180714-141322:260,RETAIN,22
20180714-141724:528,RETAIN,41
20180714-141454:016,RETAIN,27
20180714-141825:173,RETAIN,15
20180714-141637:989,RETAIN,77
20180714-141404:917,RETAIN,4
20180714-141619:672,RETAIN,11
20180714-141955:042,RETAIN,22
20180714-140247:379,RETAIN,78
20180714-141743:644,RERUN,12
20180714-141645:298,RETAIN,21
20180714-142348:034,RETAIN,10
20180714-142351:365,RETAIN,20
20180714-142400:711,RETAIN,15
20180714-142620:050,RETAIN,15
20180714-142521:359,RERUN,13
20180714-142452:537,RETAIN,76
20180714-143037:905,RETAIN,22
20180714-142439:254,RETAIN,7
20180714-142705:433,RERUN,22
20180714-142633:051,RETAIN,18
20180714-142952:445,RETAIN,15
20180714-143243:210,RETAIN,22
20180714-143244:638,RETAIN,25
20180714-143347:574,RETAIN,26
20180714-141647:274,RETAIN,25
20180714-143657:377,RETAIN,21
20180714-143256:057,RETAIN,0
20180714-143929:895,RETAIN,21
20180714-143516:149,RETAIN,58
20180714-143840:943,RERUN,18
20180714-143646:408,RETAIN,8
20180714-143625:234,RERUN,38
20180714-144116:115,RETAIN,0
20180714-144123:196,RETAIN,38
20180714-144420:176,RETAIN,28
20180714-144313:323,RETAIN,7
20180714-144601:649,RETAIN,20
20180714-144551:220,RETAIN,8
20180714-143047:142,RETAIN,87
20180714-145050:474,RETAIN,38
20180714-144608:813,RETAIN,15
20180714-144542:832,RERUN,42
20180714-145009:079,RETAIN,0
20180714-145226:366,RETAIN,22
20180714-144504:402,RETAIN,12
20180714-144943:457,RERUN,47
20180714-144907:704,RETAIN,6
20180714-145331:389,RETAIN,14
20180714-145733:791,RETAIN,22
20180714-145942:558,RETAIN,16
20180714-145841:204,RETAIN,4
20180714-145516:773,RERUN,19
20180714-145509:920,RETAIN,44
20180714-150040:209,RETAIN,2
20180714-144448:033,RETAIN,24
20180714-145746:330,RETAIN,13
20180714-150431:503,RETAIN,22
20180714-145901:786,RETAIN,15
20180714-145908:085,RETAIN,4
20180714-150644:043,RETAIN,17
20180714-150840:605,RETAIN,25
20180714-150748:264,RETAIN,43
20180714-151112:236,RETAIN,16
20180714-150625:365,RETAIN,20
20180714-150615:639,RERUN,19
20180714-150923:025,RERUN,30
20180714-150857:055,RETAIN,16
20180714-151309:318,RETAIN,16
20180714-151405:251,RETAIN,11
20180714-150953:461,RETAIN,13
20180714-151727:608,RETAIN,17
20180714-145823:921,RETAIN,28
20180714-151630:605,RETAIN,6
20180714-151950:715,RETAIN,22
20180714-151844:589,RETAIN,6
20180714-151829:611,RETAIN,7
20180714-152022:463,RETAIN,22
20180714-151557:652,RERUN,35
20180714-151546:608,RETAIN,15
20180714-152353:061,RETAIN,23
20180714-152457:635,RETAIN,7
20180714-152133:861,RETAIN,0
20180714-152647:451,RETAIN,22
20180714-152759:140,RETAIN,26
20180714-152652:865,RETAIN,14
20180714-151240:046,RETAIN,39
20180714-153012:373,RETAIN,17
20180714-152700:535,RETAIN,15
20180714-152654:614,RETAIN,15
20180714-152606:391,RETAIN,7
20180714-153314:746,RETAIN,22
20180714-153324:423,RETAIN,1
20180714-153515:771,RETAIN,5
20180714-153211:377,RETAIN,4
20180714-153738:698,RETAIN,22
20180714-153543:289,RETAIN,77
20180714-153948:376,RETAIN,20
20180714-153721:713,RETAIN,3
20180714-154118:135,RETAIN,11
20180714-153809:071,RERUN,42
20180714-153717:714,RETAIN,36
20180714-154205:086,RETAIN,4
20180714-152627:675,RETAIN,62
20180714-154444:827,RETAIN,22
20180714-154406:548,RETAIN,13
20180714-154719:629,RETAIN,12
20180714-154329:051,RETAIN,11
20180714-154614:018,RETAIN,17
20180714-154529:490,RETAIN,12
20180714-155218:209,RETAIN,22
20180714-155043:184,RETAIN,0
20180714-154708:241,RETAIN,11
20180714-154644:088,RERUN,44
20180714-155432:828,RETAIN,20
20180714-155301:280,RETAIN,19
20180714-155415:166,RETAIN,30
20180714-155836:540,RETAIN,37
20180714-155452:353,RETAIN,29
20180714-154034:572,RETAIN,91
20180714-155342:066,RETAIN,6
20180714-155915:137,RETAIN,0
20180714-155637:310,RETAIN,48
20180714-160122:966,RETAIN,19
20180714-160220:669,RETAIN,17
20180714-155620:253,RETAIN,14
20180714-160505:633,RETAIN,17
20180714-160139:931,RETAIN,2
20180714-160332:833,RETAIN,15
20180714-160842:749,RETAIN,17
20180714-160754:978,RETAIN,1
20180714-160803:800,RETAIN,25
20180714-160850:471,RETAIN,12
20180714-160423:216,RETAIN,2
20180714-160955:702,RETAIN,3
20180714-161150:284,RETAIN,29
20180714-155402:247,RETAIN,24
20180714-161212:106,RETAIN,21
20180714-161253:834,RETAIN,1
20180714-161528:877,RETAIN,1
20180714-161829:015,RETAIN,16
20180714-161728:458,RETAIN,20
20180714-161629:864,RETAIN,26
20180714-161712:303,RETAIN,14
20180714-161632:959,RETAIN,12
20180714-161613:347,RETAIN,27
20180714-162001:424,RETAIN,39
20180714-162230:227,RETAIN,21
20180714-162450:158,RETAIN,18
20180714-162108:775,RETAIN,13
20180714-162520:297,RETAIN,21
20180714-160845:512,RETAIN,42
20180714-162607:153,RETAIN,6
20180714-163103:206,RETAIN,22
20180714-162746:847,RETAIN,19
20180714-162658:550,RERUN,8
20180714-163000:461,RETAIN,20
20180714-162926:745,RETAIN,93
20180714-163000:800,RETAIN,22
20180714-163219:079,RERUN,16
20180714-162744:071,RETAIN,2
20180714-163522:050,RETAIN,2
20180714-163720:988,RETAIN,37
20180714-162231:125,RETAIN,104
20180714-163902:150,RETAIN,22
20180714-163635:302,RETAIN,4
20180714-163837:549,RETAIN,14
20180714-163702:481,RETAIN,20
20180714-164059:200,RETAIN,11
20180714-163950:918,RETAIN,21
20180714-164439:030,RETAIN,18
20180714-164401:591,RETAIN,6
20180714-164556:714,RETAIN,22
20180714-164011:731,RETAIN,37
20180714-164853:685,RETAIN,6
20180714-164749:792,RETAIN,24
20180714-164613:916,RETAIN,14
20180714-165107:348,RETAIN,17
20180714-164649:983,RETAIN,52
20180714-164834:803,RERUN,56
20180714-165300:021,RETAIN,32
20180714-165307:995,RETAIN,1
20180714-163539:494,RETAIN,24
20180714-165606:514,RETAIN,1
20180714-165346:262,RERUN,8
20180714-165643:570,RERUN,25
20180714-165744:872,RETAIN,19
20180714-165506:862,RERUN,9
20180714-165555:186,RETAIN,12
20180714-165728:328,RETAIN,18
20180714-170002:956,RETAIN,28
20180714-170227:745,RETAIN,7
20180714-170333:279,RETAIN,7
20180714-170541:377,RETAIN,17
20180714-170445:831,RETAIN,5
20180714-165011:113,RETAIN,37
20180714-170619:860,RETAIN,13
20180714-170451:061,RETAIN,17
20180714-170556:035,RETAIN,16
20180714-170354:949,RETAIN,24
20180714-170815:144,RETAIN,30
20180714-171113:200,RETAIN,19
20180714-171307:332,RETAIN,15
20180714-171410:840,RETAIN,35
20180714-171512:723,RETAIN,14
20180714-171424:514,RETAIN,37
20180714-171530:306,RETAIN,20
20180714-171632:236,RETAIN,15
20180714-171505:306,RETAIN,9
20180714-172032:934,RETAIN,22
20180714-171550:481,RETAIN,10
20180714-172104:583,RETAIN,18
20180714-170410:317,RETAIN,54
20180714-172027:303,RETAIN,27
20180714-172424:198,RETAIN,19
20180714-172627:324,RETAIN,10
20180714-172249:413,RERUN,5
20180714-172325:316,RETAIN,8
20180714-172501:307,RERUN,16
20180714-172402:614,RETAIN,92
20180714-172856:731,RETAIN,37
20180714-172634:558,RETAIN,20
20180714-173140:205,RETAIN,20
20180714-173239:668,RETAIN,13
20180714-172917:031,RETAIN,14
20180714-171821:495,RETAIN,32
20180714-173259:976,RETAIN,23
20180714-173301:516,RETAIN,4
20180714-173313:125,RETAIN,20
20180714-173641:714,RETAIN,15
20180714-173331:185,RETAIN,18
20180714-173941:663,RETAIN,22
20180714-174118:219,RETAIN,15
20180714-174036:823,RETAIN,1
20180714-173904:655,RETAIN,6
20180714-174532:070,RETAIN,17
20180714-174251:578,RERUN,14
20180714-174406:813,RETAIN,24
20180714-174823:154,RETAIN,5
20180714-174756:267,RETAIN,22
20180714-174430:947,RETAIN,0
20180714-174333:227,RERUN,24
20180714-173152:817,RETAIN,38
20180714-175242:501,RETAIN,18
20180714-175039:149,RETAIN,1
20180714-174928:266,RETAIN,4
20180714-175433:599,RETAIN,14
20180714-175242:273,RETAIN,40
20180714-175309:806,RETAIN,15
20180714-175532:175,RETAIN,22
20180714-175316:167,RERUN,18
20180714-175303:510,RETAIN,20
20180714-175922:744,RETAIN,19
20180714-175946:526,RETAIN,10
20180714-180202:742,RETAIN,25
20180714-174552:339,RETAIN,106
20180714-180257:108,RETAIN,21
20180714-180206:604,RETAIN,0
20180714-180316:542,RERUN,14
20180714-180030:458,RETAIN,9
20180714-180406:941,RERUN,36
20180714-180431:524,RETAIN,13
20180714-180757:544,RETAIN,20
20180714-181058:984,RETAIN,20
20180714-180921:799,RETAIN,0
20180714-181245:401,RETAIN,22
20180714-181209:839,RERUN,51
20180714-181224:714,RETAIN,30
20180714-181300:859,RERUN,4
20180714-181730:076,RETAIN,36
20180714-181655:220,RETAIN,19
20180714-180015:946,RETAIN,22
20180714-181332:215,RETAIN,32
20180714-181345:185,RERUN,21
20180714-181956:198,RETAIN,20
20180714-181920:815,RETAIN,3
20180714-182406:666,RETAIN,45
20180714-182404:197,RETAIN,11
20180714-182141:702,RETAIN,22
20180714-182226:723,RERUN,12
20180714-182310:995,RETAIN,10
20180714-182738:325,RETAIN,20
20180714-181419:534,RETAIN,22
20180714-182437:201,RETAIN,23
20180714-182449:494,RERUN,13
20180714-183159:906,RETAIN,11
20180714-183118:443,RETAIN,18
20180714-182850:592,RETAIN,11
20180714-183202:901,RETAIN,16
20180714-183200:740,RERUN,21
20180714-183615:379,RETAIN,23
20180714-183949:979,RETAIN,15
20180714-183434:454,RETAIN,0
20180714-183908:486,RETAIN,28
20180714-183955:851,RETAIN,4
20180714-183633:987,RERUN,16
20180714-183611:555,RETAIN,44
20180714-184510:015,RETAIN,19
20180714-184600:266,RETAIN,2
20180714-182810:738,RETAIN,23
20180714-184237:738,RETAIN,38
20180714-184328:299,RERUN,3
20180714-184753:214,RETAIN,15
20180714-184931:118,RETAIN,76
20180714-184642:424,RETAIN,8
20180714-185218:385,RETAIN,20
20180714-185230:038,RETAIN,23
20180714-184729:775,RERUN,12
20180714-184713:372,RETAIN,7
20180714-185204:213,RERUN,25
20180714-185202:826,RETAIN,10
20180714-185522:347,RETAIN,16
20180714-185819:475,RETAIN,22
20180714-184228:927,RETAIN,32
20180714-190010:788,RETAIN,41
20180714-190100:059,RETAIN,21
20180714-185845:968,RETAIN,2
20180714-185755:751,RERUN,12
20180714-185806:593,RETAIN,27
20180714-190334:848,RETAIN,30
20180714-190141:865,RERUN,9
20180714-190153:103,RETAIN,74
20180714-190557:710,RETAIN,22
20180714-190906:185,RETAIN,21
20180714-190908:932,RETAIN,17
20180714-191155:563,RETAIN,22
20180714-191148:290,RETAIN,60
20180714-185619:156,RETAIN,20
20180714-191015:967,RERUN,4
20180714-190920:841,RETAIN,36
20180714-191419:834,RETAIN,21
20180714-191149:677,RETAIN,24
20180714-190919:652,RETAIN,14
20180714-191705:539,RETAIN,14
20180714-191817:459,RETAIN,27
20180714-192050:155,RETAIN,18
20180714-192144:109,RETAIN,18
20180714-191912:063,RETAIN,17
20180714-192011:926,RETAIN,20
20180714-192131:671,RERUN,32
20180714-192103:346,RETAIN,64
20180714-192416:405,RETAIN,22
20180714-192604:571,RETAIN,10
20180714-192204:439,RETAIN,8
20180714-192756:086,RETAIN,18
20180714-191100:782,RETAIN,21
20180714-192903:137,RETAIN,22
20180714-193232:216,RETAIN,19
20180714-193248:929,RETAIN,12
20180714-192839:539,RETAIN,28
20180714-192958:835,RERUN,18
20180714-193012:454,RERUN,20
20180714-193016:576,RERUN,16
20180714-193523:242,RETAIN,19
20180714-193646:005,RETAIN,23
20180714-193202:932,RETAIN,4
20180714-194018:926,RETAIN,17
20180714-194127:399,RETAIN,19
20180714-193958:702,RETAIN,11
20180714-192529:737,RETAIN,22
20180714-194229:771,RETAIN,22
20180714-194058:031,RETAIN,14
20180714-194132:884,RETAIN,7
20180714-194002:674,RETAIN,12
20180714-194545:633,RETAIN,22
20180714-194751:786,RETAIN,56
20180714-194829:347,RETAIN,14
20180714-194609:033,RETAIN,13
20180714-195055:862,RETAIN,21
20180714-195230:675,RETAIN,20
20180714-195026:245,RETAIN,39
20180714-195100:136,RETAIN,23
20180714-195101:811,RETAIN,33
20180714-194918:375,RETAIN,33
20180714-195544:049,RETAIN,14
20180714-195455:771,RETAIN,17
20180714-193923:020,RETAIN,29
20180714-195830:602,RETAIN,16
20180714-195935:292,RETAIN,46
20180714-195654:901,RERUN,12
20180714-200125:854,RETAIN,8
20180714-195928:741,RETAIN,16
20180714-200258:683,RETAIN,22
20180714-200034:409,RETAIN,28
20180714-200031:536,RERUN,0
20180714-195947:450,RETAIN,6
20180714-200711:714,RETAIN,22
20180714-200806:530,RETAIN,22
20180714-201036:431,RETAIN,22
20180714-200943:802,RETAIN,6
20180714-200825:786,RETAIN,25
20180714-200918:659,RETAIN,23
20180714-200955:096,RETAIN,40
20180714-201009:747,RETAIN,17
20180714-200954:616,RETAIN,12
20180714-195510:201,RETAIN,20
20180714-201456:381,RETAIN,22
20180714-201807:948,RETAIN,26
20180714-201655:157,RETAIN,17
20180714-201823:956,RETAIN,20
20180714-201856:834,RETAIN,28
20180714-201933:506,RETAIN,10
20180714-202354:708,RETAIN,16
20180714-202326:882,RETAIN,16
20180714-201954:632,RETAIN,23
20180714-202101:658,RERUN,20
20180714-201957:649,RETAIN,9
20180714-202405:603,RETAIN,22
20180714-202545:135,RETAIN,21
20180714-201002:591,RETAIN,20
20180714-203014:412,RETAIN,32
20180714-203049:418,RETAIN,21
20180714-203227:080,RETAIN,15
20180714-202838:171,RETAIN,26
20180714-202912:851,RETAIN,4
20180714-202854:357,RETAIN,51
20180714-202732:795,RETAIN,15
20180714-203408:155,RETAIN,22
20180714-203133:888,RETAIN,6
20180714-203918:204,RETAIN,25
20180714-203939:089,RETAIN,22
20180714-203946:900,RETAIN,19
20180714-204006:362,RETAIN,17
20180714-204211:775,RETAIN,21
20180714-204036:641,RETAIN,10
20180714-204036:767,RERUN,12
20180714-203940:149,RETAIN,66
20180714-202522:208,RETAIN,20
20180714-204511:181,RETAIN,14
20180714-204800:217,RETAIN,25
20180714-204656:169,RETAIN,16
20180714-204300:301,RETAIN,7
20180714-204949:864,RETAIN,13
20180714-204847:731,RETAIN,10
20180714-205327:055,RETAIN,14
20180714-204916:579,RETAIN,192
20180714-204854:435,RERUN,24
20180714-204846:205,RETAIN,23
20180714-205517:735,RETAIN,18
20180714-205501:965,RETAIN,20
20180714-205701:523,RETAIN,19
20180714-204051:127,RETAIN,22
20180714-210007:024,RETAIN,10
20180714-205539:153,RERUN,14
20180714-205825:675,RETAIN,34
20180714-210227:003,RETAIN,57
20180714-210303:755,RETAIN,21
20180714-205835:074,RETAIN,32
20180714-210007:520,RERUN,12
20180714-205653:230,RETAIN,104
20180714-210505:621,RETAIN,15
20180714-210708:083,RETAIN,13
20180714-211057:141,RETAIN,21
20180714-211106:018,RETAIN,20
20180714-210906:153,RETAIN,18
20180714-211015:322,RETAIN,9
20180714-210725:460,RETAIN,14
20180714-210859:157,RETAIN,33
20180714-210914:456,RETAIN,10
20180714-205634:548,RETAIN,25
20180714-211449:805,RERUN,28
20180714-211647:725,RETAIN,12
20180714-211912:794,RETAIN,15
20180714-211820:388,RETAIN,22
20180714-211845:052,RERUN,17
20180714-211916:462,RETAIN,10
20180714-212233:004,RETAIN,22
20180714-211919:289,RETAIN,46
20180714-212329:060,RERUN,6
20180714-211913:826,RETAIN,1
20180714-212140:054,RETAIN,21
20180714-212613:469,RETAIN,16
20180714-212628:290,RETAIN,45
20180714-211055:602,RETAIN,38
20180714-212853:699,RETAIN,27
20180714-212957:835,RETAIN,22
20180714-212821:291,RETAIN,15
20180714-212807:036,RETAIN,28
20180714-213336:247,RETAIN,16
20180714-213336:269,RETAIN,24
20180714-213012:004,RERUN,16
20180714-213041:600,RETAIN,6
20180714-212941:036,RETAIN,12
20180714-213846:793,RETAIN,22
20180714-213651:077,RETAIN,18
20180714-214036:194,RETAIN,13
20180714-213939:739,RERUN,14
20180714-213907:716,RETAIN,23
20180714-214226:299,RETAIN,16
20180714-214200:261,RETAIN,18
20180714-212553:690,RETAIN,20
20180714-214148:330,RETAIN,24
20180714-214617:450,RETAIN,21
20180714-214633:504,RETAIN,36
20180714-214708:737,RETAIN,30
20180714-214208:292,RERUN,7
20180714-215044:038,RETAIN,17
20180714-214946:131,RETAIN,18
20180714-214824:007,RERUN,13
20180714-214720:033,RETAIN,24
20180714-215425:790,RETAIN,17
20180714-215057:910,RETAIN,8
20180714-215400:610,RETAIN,28
20180714-215516:158,RETAIN,8
20180714-215811:758,RETAIN,26
20180714-215801:734,RETAIN,12
20180714-214138:016,RETAIN,18
20180714-215707:165,RERUN,7
20180714-215740:359,RETAIN,27
20180714-220124:511,RETAIN,22
